Top queries,Landing page,Clicks,Impressions,CTR,Position
نقل اثاث عيادات,https://example.com/clinic-moving,412,38900,1.06%,9.4
نقل اثاث مطاعم,https://example.com/restaurant-moving,318,29400,1.08%,10.2
نقل اثاث مطاعم,https://example.com/blog/restaurant-guide,44,9100,0.48%,17.3
كراسي كافيهات,https://example.com/cafe-chairs,890,26100,3.41%,4.2
كراسي كافيهات,https://example.com/products/chairs,61,7700,0.79%,14.8
اثاث جامعات,https://example.com/university-furniture,1204,31200,3.86%,2.9
اثاث معاهد,https://example.com/institute-furniture,96,21400,0.45%,11.7
خزائن تخزين,https://example.com/storage-lockers,58,18300,0.32%,13.9
مكاتب ادارية,https://example.com/office-desks,220,44100,0.50%,6.1
طاولات مطاعم,https://example.com/restaurant-tables,74,15600,0.47%,12.4
كراسي محاضرات,https://example.com/lecture-chairs,31,9800,0.32%,16.2
اثاث مدارس,https://example.com/school-furniture,540,12900,4.19%,3.4
